0.000290994	256
0.000536192	256
0.000851245	256
0.00116029	256
0.00147788	256
0.00178795	256
0.00209768	256
0.00239487	256
0.00265274	255
0.00291127	255
0.00319321	255
0.00344203	255
0.00376043	255
0.00405832	255
0.00429523	255
0.00449443	254
0.00481564	254
0.00509986	254
0.00542883	254
0.00578854	254
0.00604681	254
0.00639505	254
0.00674537	254
0.0069978	254
0.00729518	254
0.00755147	253
0.00782752	253
0.0081341	253
0.0084589	253
0.00881141	252
0.00913077	252
0.00948789	252
0.00982012	252
0.0101592	252
0.0105785	252
0.0108056	251
0.0110549	251
0.0113557	251
0.0117323	250
0.0120462	250
0.0123443	249
0.0125842	249
0.0129235	249
0.0133402	249
0.0135506	248
0.0138095	247
0.014082	247
0.0143405	247
0.0146794	247
0.0150637	247
0.0153912	246
0.0156227	246
0.0159308	246
0.0162333	245
0.0165254	245
0.0167385	245
0.0169631	245
0.0172172	245
0.0175231	245
0.0178023	245
0.0180492	245
0.0183948	245
0.01862	245
0.0188736	245
0.0192049	245
0.0195368	245
0.0197401	245
0.0199806	245
0.0202311	245
0.0206178	245
0.0208792	244
0.0211922	244
0.0215036	243
0.0217976	243
0.0220284	243
0.0223572	243
0.0226636	243
0.0230138	243
0.0232759	243
0.0235396	243
0.0239293	243
0.0241677	243
0.0244633	242
0.0247518	242
0.0250149	242
0.0252912	242
0.025612	242
0.0259622	242
0.0261841	242
0.0264405	242
0.0267135	242
0.0269867	242
0.0274212	242
0.0278166	242
0.0280821	242
0.028368	241
0.0286466	241
0.0289019	241
0.0291194	241
0.0295045	239
0.0298369	239
0.0301017	238
0.0304427	238
0.0306619	238
0.0309042	238
0.0312034	238
0.0315708	238
0.0318306	238
0.0320844	238
0.0324057	238
0.0326166	238
0.0329343	238
0.0332171	238
0.0335042	237
0.0338639	237
0.0341551	237
0.0343797	237
0.0346792	237
0.0349331	237
0.03525	236
0.0355222	236
0.0358473	235
0.036126	235
0.0364201	235
0.0366646	235
0.0369665	235
0.0372421	235
0.0374705	235
0.0377886	235
